"duration_sec","start_time","end_time","start_station_id","start_station_name","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_latitude","end_station_longitude","bike_id","user_type","member_birth_year","member_gender","bike_share_for_all_trip"
52185,"2019-02-28 17:32:10.1450","2019-03-01 08:01:55.9750",21,"Montgomery St BART Station (Market St at 2nd St)",37.7896254,-122.400811,13,"Commercial St at Montgomery St",37.794231,-122.402923,4902,"Customer",1984,"Male","No"
42521,"2019-02-28 18:53:21.7890","2019-03-01 06:42:03.0560",23,"The Embarcadero at Steuart St",37.791464,-122.391034,81,"Berry St at 4th St",37.77588,-122.39317,2535,"Customer","","","No"
61854,"2019-02-28 12:13:13.2180","2019-03-01 05:24:08.1460",86,"Market St at Dolores St",37.7693053,-122.4268256,3,"Powell St BART Station (Market St at 4th St)",37.78637526861584,-122.40490436553954,5905,"Customer",1972,"Male","No"
36490,"2019-02-28 17:54:26.0100","2019-03-01 04:02:36.8420",375,"Grove St at Masonic Ave",37.77483629413345,-122.44654566049576,70,"Central Ave at Fell St",37.77331087889723,-122.44429260492325,6638,"Subscriber",1989,"Other","No"
1585,"2019-02-28 23:54:18.5490","2019-03-01 00:20:44.0740",7,"Frank H Ogawa Plaza",37.8045623549303,-122.27173805236816,222,"10th Ave at E 15th St",37.7927143,-122.2487796,4898,"Subscriber",1974,"Male","Yes"
1793,"2019-02-28 23:49:58.6320","2019-03-01 00:19:51.7600",93,"4th St at Mission Bay Blvd S",37.7704074,-122.3911984,323,"Broadway at Kearny",37.79801364395978,-122.40595042705534,5200,"Subscriber",1959,"Male","No"
1147,"2019-02-28 23:55:35.1040","2019-03-01 00:14:42.5880",300,"Palm St at Willow St",37.3172979,-121.884995,312,"San Jose Diridon Station",37.329732,-121.901782,3803,"Subscriber",1983,"Female","No"
1615,"2019-02-28 23:41:06.7660","2019-03-01 00:08:02.7560",10,"Washington St at Kearny St",37.79539293725452,-122.4047702550888,127,"Valencia St at 21st St",37.7567083,-122.421025,6329,"Subscriber",1989,"Male","No"
1570,"2019-02-28 23:41:48.7900","2019-03-01 00:07:59.7150",10,"Washington St at Kearny St",37.79539293725452,-122.4047702550888,127,"Valencia St at 21st St",37.7567083,-122.421025,6548,"Subscriber",1988,"Other","No"
1049,"2019-02-28 23:49:47.6990","2019-03-01 00:07:17.0250",19,"Post St at Kearny St",37.788975,-122.403452,121,"Mission Playground",37.7592103,-122.4213392,6488,"Subscriber",1992,"Male","No"
458,"2019-02-28 23:57:57.2110","2019-03-01 00:05:35.4350",370,"Jones St at Post St",37.7873267660624,-122.41327822208405,43,"San Francisco Public Library (Grove St at Hyde St)",37.7787677,-122.4159292,5318,"Subscriber",1996,"Female","Yes"
506,"2019-02-28 23:56:55.5400","2019-03-01 00:05:21.7330",44,"Civic Center/UN Plaza BART Station (Market St at McAllister St)",37.7810737,-122.4117382,343,"Bryant St at 2nd St",37.783171989315306,-122.39357203245163,5848,"Subscriber",1993,"Male","No"
1176,"2019-02-28 23:45:12.6510","2019-03-01 00:04:49.1840",127,"Valencia St at 21st St",37.7567083,-122.421025,323,"Broadway at Kearny",37.79801364395978,-122.40595042705534,5328,"Customer",1990,"Male","No"
915,"2019-02-28 23:49:06.0620","2019-03-01 00:04:21.8670",252,"Channing Way at Shattuck Ave",37.8658466,-122.2674431,244,"Shattuck Ave at Hearst Ave",37.87367621459825,-122.26848721504211,5101,"Subscriber","","","No"
395,"2019-02-28 23:56:26.8480","2019-03-01 00:03:01.9470",243,"Bancroft Way at College Ave",37.8693603,-122.2543374,252,"Channing Way at Shattuck Ave",37.8658466,-122.2674431,4786,"Subscriber",1988,"Male","No"
208,"2019-02-28 23:59:18.5480","2019-03-01 00:02:47.2280",349,"Howard St at Mary St",37.78100971717512,-122.40566611289978,60,"8th St at Ringold St",37.77452040113685,-122.4094493687153,6361,"Subscriber",1993,"Male","Yes"
548,"2019-02-28 23:50:41.6070","2019-02-28 23:59:49.9530",131,"22nd St at Dolores St",37.75500026037814,-122.42572769522668,71,"Broderick St at Oak St",37.7730627,-122.4390777,6572,"Subscriber",1981,"Male","No"
674,"2019-02-28 23:48:25.0950","2019-02-28 23:59:40.0920",74,"Laguna St at Hayes St",37.776434819204745,-122.42624402046204,336,"Potrero Ave and Mariposa St",37.76328094058097,-122.4073773622513,5343,"Subscriber",1975,"Male","No"
557,"2019-02-28 23:49:01.8510","2019-02-28 23:58:19.8090",321,"5th St at Folsom",37.78014570345598,-122.40307085237873,75,"Market St at Franklin St",37.7737932060887,-122.42123901844025,5854,"Subscriber",1990,"Male","No"
874,"2019-02-28 23:43:05.1830","2019-02-28 23:57:39.7960",180,"Telegraph Ave at 23rd St",37.8126783,-122.2687726,180,"Telegraph Ave at 23rd St",37.8126783,-122.2687726,5629,"Customer",1978,"Male","No"
417,"2019-02-28 23:50:38.2390","2019-02-28 23:57:35.8520",72,"Page St at Scott St",37.772406,-122.4356498,107,"17th St at Dolores St",37.7630152,-122.4264968,4999,"Subscriber",1983,"Male","No"
414,"2019-02-28 23:50:26.8790","2019-02-28 23:57:21.1300",163,"Lake Merritt BART Station",37.7973195,-122.2653199,221,"6th Ave at E 12th St (Temporary Location)",37.794396,-122.253842,6007,"Subscriber",1984,"Male","Yes"
743,"2019-02-28 23:44:56.4390","2019-02-28 23:57:20.2120",370,"Jones St at Post St",37.7873267660624,-122.41327822208405,52,"McAllister St at Baker St",37.7774157,-122.4418376,5479,"Subscriber",1991,"Female","No"
367,"2019-02-28 23:51:06.0140","2019-02-28 23:57:13.3120",243,"Bancroft Way at College Ave",37.8693603,-122.2543374,269,"Telegraph Ave at Carleton St",37.8623199,-122.258801,1804,"Subscriber",1997,"Female","No"
252,"2019-02-28 23:52:51.1640","2019-02-28 23:57:03.9760",190,"West St at 40th St",37.8302232,-122.2709501,189,"Genoa St at 55th St",37.8396488,-122.2717561,5678,"Subscriber",1975,"Male","No"
360,"2019-02-28 23:50:31.4310","2019-02-28 23:56:31.8910",163,"Lake Merritt BART Station",37.7973195,-122.2653199,196,"Grand Ave at Perkins St",37.80889393398715,-122.25646018981932,6240,"Subscriber",1986,"Male","No"
385,"2019-02-28 23:49:24.3990","2019-02-28 23:55:50.2840",6,"The Embarcadero at Sansome St",37.80477,-122.403234,15,"San Francisco Ferry Building (Harry Bridges Plaza)",37.795392,-122.394203,6531,"Customer",2000,"Male","No"
408,"2019-02-28 23:48:08.2820","2019-02-28 23:54:56.9300",78,"Folsom St at 9th St",37.7737172,-122.4116467,78,"Folsom St at 9th St",37.7737172,-122.4116467,5410,"Subscriber",1982,"Male","No"
650,"2019-02-28 23:43:27.5030","2019-02-28 23:54:18.4510",258,"University Ave at Oxford St",37.8723555,-122.2664467,263,"Channing Way at San Pablo Ave",37.8628271,-122.2902305,4784,"Customer","","","No"
629,"2019-02-28 23:43:48.6580","2019-02-28 23:54:18.2540",258,"University Ave at Oxford St",37.8723555,-122.2664467,263,"Channing Way at San Pablo Ave",37.8628271,-122.2902305,363,"Subscriber",1995,"Male","No"
163,"2019-02-28 23:50:45.6980","2019-02-28 23:53:29.5690",238,"MLK Jr Way at University Ave",37.8717192,-122.2730677,244,"Shattuck Ave at Hearst Ave",37.87367621459825,-122.26848721504211,5669,"Subscriber",1996,"Male","Yes"
